Model,Starting Price,Year
"Genesis G90              ","$89,200",2024
"Genesis GV60              ","$52,000",2024
"Genesis GV70              ","$44,900",2024
"Genesis Electrified GV70              ","$66,450",2024
"Genesis G80              ","$54,150",2024
"Genesis G70              ","$39,400",2023
"Honda Passport              ","$41,900",2024
"Genesis Electrified G80              ","$79,825",2023
"Honda HR-V              ","$24,100",2024
"Honda Civic Si              ","$29,100",2024
"Honda Civic Type R              ","$43,795",2023
"Honda CR-V Hybrid              ",Priceunavailable,2024
"Honda CR-V              ",Priceunavailable,2024
"Honda Accord Hybrid              ","$32,195",2024
"Mazda CX-90              ","$39,595",2024
"Honda Civic              ","$23,950",2024
"Honda Accord              ","$27,895",2024
"Mazda CX-9              ","$38,750",2023
"Mazda CX-50              ","$30,300",2024
"Mazda CX-5              ","$29,300",2024
"Maserati MC20              ",Priceunavailable,2023
"Maserati Quattroporte              ","$139,000",2024
"Mazda CX-30              ","$24,995",2024
"Mazda MX-5 Miata RF              ","$35,750",2023
"Mazda MX-5 Miata              ","$28,050",2023
"Nissan Rogue              ",Priceunavailable,2024
"Nissan Pathfinder              ","$35,810",2024
"Maserati GranTurismo              ","$174,000",2024
"Mazda Mazda3              ","$24,170",2024
"Nissan Armada              ",Priceunavailable,2024
"Nissan ARIYA              ","$43,190",2023
"Nissan Kicks              ","$20,790",2024
"Nissan Murano              ","$37,920",2024
"Nissan Versa              ","$16,130",2024
"Nissan Z              ","$42,210",2024
"Nissan Sentra              ","$20,630",2024
"Nissan GT-R              ","$120,990",2024
"Mitsubishi Outlander PHEV              ","$40,345",2024
"Nissan Leaf              ","$28,140",2024
"Nissan Altima              ","$25,730",2024
